id,title,type,description,release_year,age_certification,runtime,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,production_countries,actors_list,directors_list,description_cleaned
ts11397,Adventures of Sonic the Hedgehog,SHOW,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.",1993,TV-Y7,22,4,tt0222518,6.2,3902,13.313,6.3,"['scifi', 'animation', 'action', 'comedy', 'family', 'fantasy', 'western']",['US'],"['Jaleel White', 'Christopher Evan Welch', 'Long John Baldry', 'Garry Chalk', 'Philip Maurice Hayes', 'Ian James Corlett']",[],follow adventure sonic hedgehog sidekick tail attempt stop dr robotnik array robot taking planet mobius
tm56033,Croupier,MOVIE,"Jack Manfred is an aspiring writer who to make ends meet, takes a job as a croupier. Jack remains an observer, knowing that everything in life is a gamble and that gamblers are born to lose. Inevitably, he gets sucked into the world of the casino which takes its toll on his relationships and the novel he is writing.",1998,R,94,0,tt0159382,7.0,21599,8.381,6.8,"['drama', 'european', 'crime']","['IE', 'GB', 'DE', 'FR']","['Clive Owen', 'Kate Hardie', 'Alex Kingston', 'Gina McKee', 'Nicholas Ball', 'Alexander Morton', 'Paul Reynolds', 'Nick Reding', 'Barnaby Kay', 'Rhona Mitra', 'Ozzie Yue', 'John Radcliffe', 'Sheila Whitfield']",['Mike Hodges'],jack manfred aspiring writer make end meet take job croupier jack remains observer knowing everything life gamble gambler born lose inevitably get sucked world casino take toll relationship novel writing
ts21581,Girlfriends,SHOW,"The series revolves around the friendship of four African-American women in different phases of their lives. They explore the many trials and tribulations that most women face today such as relationships, family, friends and other current issues that will interest most women. Whether it’s getting over a divorce, finding a career, or looking for true love, Girlfriends delivers along with comedy and wit.",2000,TV-PG,21,8,tt0247102,7.2,4528,12.163,7.7,"['drama', 'comedy']",['US'],"['Tracee Ellis Ross', 'Golden Brooks', 'Persia White', 'Reggie Hayes', 'Jill Marie Jones']",[],series revolves around friendship four africanamerican woman different phase life explore many trial tribulation woman face today relationship family friend current issue interest woman whether getting divorce finding career looking true love girlfriend delivers along comedy wit
tm117488,The Next Karate Kid,MOVIE,"Mr. Miyagi decides to take Julie, a troubled teenager, under his wing after he learns that she blames herself for her parents' demise and struggles to adjust with her grandmother and fellow pupils.",1994,PG,107,0,tt0110657,4.5,30422,20.185,5.318,"['action', 'drama', 'family', 'sport', 'romance']",['US'],"['Pat Morita', 'Hilary Swank', 'Michael Ironside', 'Constance Towers', 'Chris Conrad', ""Arsenio 'Sonny' Trinidad"", 'Michael Cavalieri', 'Walton Goggins', 'Jim Ishida', 'Rodney Kageyama', 'Seth Sakai', 'Eugene Boles', 'Keena Keel', ""Tom O'Brien"", 'Thomas Downey', 'Brian McGrail', 'Wayne Chou', 'Daniel Inouye', 'Gustave Johnson', 'Brian Smiar', 'Eric Beam', 'Scott Powderly', 'Davis Robinson', 'Anthony Ejarque', 'Christopher Wilder', 'Annette Miller', 'Bud Ekins', 'Paul Bronk', 'Fred Fontana', 'Julie Weintraub', 'Johnny Melton', 'Chad Melton', 'Scott Strupe', 'Phillip V. Caruso', 'Robert Harrell', 'Dan Marshall', 'Frank Principe', 'Robin Reck', 'Hebron Simckes-Joffe', 'Mark Vafiades', 'Dared Wright', 'Jason Yee']",['Christopher Cain'],mr miyagi decides take julie troubled teenager wing learns blame parent demise struggle adjust grandmother fellow pupil
tm190811,Geronimo: An American Legend,MOVIE,"The Apache Indians have reluctantly agreed to settle on a US Government approved reservation. Not all the Apaches are able to adapt to the life of corn farmers. One in particular, Geronimo, is restless. Pushed over the edge by broken promises and necessary actions by the government, Geronimo and thirty or so other warriors form an attack team which humiliates the government by evading capture, while reclaiming what is rightfully theirs.",1993,PG-13,115,0,tt0107004,6.5,11709,8.136,6.3,"['western', 'history', 'drama']",['US'],"['Jason Patric', 'Wes Studi', 'Gene Hackman', 'Robert Duvall', 'Matt Damon', 'Rodney A. Grant', 'Kevin Tighe', 'Steve Reevis', 'Carlos Palomino', 'Victor Aaron', 'Stuart Proud Eagle Grant', 'Stephen McHattie', 'John Finn', 'Lee de Broux', 'Rino Thunder', 'Hoke Howell', 'Richard Martin Jr.', 'Raliegh Wilson', 'Jackie Old Coyote', 'Monty Bass', 'Pato Hoffmann', 'Roger Callard', 'Juddson Keith Linn', 'Mark Boone Junior', 'M.C. Gainey', 'Michael Ruud', 'Michael Minjarez', 'Burnette Bennett', 'Jonathan Ward', 'Luis Contreras', 'Scott Wilson']",['Walter Hill'],apache indian reluctantly agreed settle u government approved reservation apache able adapt life corn farmer one particular geronimo restless pushed edge broken promise necessary action government geronimo thirty warrior form attack team humiliates government evading capture reclaiming rightfully
tm191431,Double Team,MOVIE,He's a one-man arsenal... with enough voltage to rock the free world. They Don't Play by the Rules. You're either on their side...or in their way. America's top counter-terrorist usually works alone...this time he's got company.,1997,R,93,0,tt0119013,4.8,34396,14.599,5.1,"['action', 'scifi', 'comedy', 'thriller']","['HK', 'US']","['Jean-Claude Van Damme', 'Dennis Rodman', 'Mickey Rourke', 'Paul Freeman', 'Natacha Lindinger', 'Valéria Cavalli', 'Jay Benedict', 'Bruno Bilotta', 'Mario Opinato', 'Orso Maria Guerrini', 'Ted Rusoff', 'Umberto Raho', 'Xiong Xin-Xin', 'Angelo Ragusa', ""Ottaviano Dell'Acqua"", 'Paolo Calissano', 'Joelle Devaux-Vullion', 'Grant Russell', 'William Dunn', 'Asher Tzarfati', 'Rob Diem', 'Ken Samuels', 'Sandy Welsh', 'Jessica Forde', 'Malick Bowens', 'Dominic Gould', 'Frederick Renard', 'Cyrille Dufaut', 'Eric Gauchy', 'Patrick Cauderlier', 'Hans Meyer', 'Jesse Joe Walsh', 'Peter Nelson', 'Pascal Lopez', 'Dominique Fouassier', 'Paolo Paoloni', 'Jean-Pierre Stewart', 'Adam Kaci', 'Pascaline Girardot', 'Nathalie Grac', 'Sigal Diamant', ""Gabriella D'Olive"", 'Nick Brett']",['Tsui Hark'],he oneman arsenal enough voltage rock free world dont play rule youre either sideor way america top counterterrorist usually work alonethis time he got company
tm10811,Heavy,MOVIE,"Victor is a cook who works in a greasy bar/restaurant owned by his mother, Dolly. It's just the two of them, a waitress named Delores, and a heavy drinking regular, Leo. But things change when Callie, a beautiful college drop-out, shows up as a new waitress and steals Victor's heart. But Victor is too shy to do anything about it, and too self-consciously overweight to dream of winning Callie away.",1995,R,105,0,tt0113280,6.8,5047,3.308,6.8,"['drama', 'romance']",['US'],"['Liv Tyler', 'Pruitt Taylor Vince', 'Shelley Winters', 'Debbie Harry', 'Joe Grifasi', 'Evan Dando', 'David Patrick Kelly', 'Marian Quinn', 'Meg Hartig', 'Zandy Hartig', 'Peter Ortell', 'George Alvarez', 'Cordis Heard', 'J. C. MacKenzie']",['James Mangold'],victor cook work greasy barrestaurant owned mother dolly two waitress named delores heavy drinking regular leo thing change callie beautiful college dropout show new waitress steal victor heart victor shy anything selfconsciously overweight dream winning callie away
tm49839,The Players Club,MOVIE,"Single mother Diana struggles to provide for her child and pay for her college education. When she meets two dancers from a nearby gentlemen's club, Diana's convinced there's fast money to be made stripping.",1998,R,104,0,tt0119905,5.9,6676,9.25,6.3,"['comedy', 'drama']",['US'],"['LisaRaye McCoy', 'Bernie Mac', 'Jamie Foxx', 'Ice Cube', 'Terrence Howard', 'Michael Clarke Duncan', 'Monica Calhoun', 'Faizon Love', 'Dick Anthony Williams', 'Judyann Elder', 'Chrystale Wilson', 'Adele Givens', 'Anthony Johnson', 'Jimmy Woodard', 'Montae Russell', 'Oren Williams', 'Jossie Thacker', 'Lalanya Masters', 'Ursula Y. Houston', ""Annie O'Donnell"", 'Satari', 'Tracey Cherelle Jones', 'Bettina Rae', 'Charlie Murphy', 'Larry McCoy', 'Alex Thomas', 'Badja Djola', 'John Amos', 'Ronn Riser', 'Big Boy', ""Tom 'Tiny' Lister Jr."", 'Greg McDonald', 'Brett Wagner', 'Kenya Williams', 'Nigel Thatch', 'Luther Campbell', 'Samuel Monroe Jr.', 'Keith Burke', 'Ski Carr', 'Annette Young', 'Master P']",['Ice Cube'],single mother diana struggle provide child pay college education meet two dancer nearby gentlemens club diana convinced there fast money made stripping
ts20918,The Parkers,SHOW,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999,TV-PG,19,5,tt0200353,6.8,2377,5.745,8.1,['comedy'],['US'],"[""Mo'Nique"", 'Countess Vaughn', 'Jenna von Oy', 'Ken Lawson', 'Yvette Wilson', 'Dorien Wilson']",[],parker american sitcom aired upn august may spinoff upns moesha parker feature motherdaughter team nikki kim parker parker signature heeyyy greeting became popular early
ts21693,"Sister, Sister",SHOW,"Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,TV-PG,22,6,tt0108927,6.2,12657,21.489,7.5,"['comedy', 'drama', 'family']",['US'],"['Tia Mowry-Hardrict', 'Tamera Mowry-Housley', 'Jackée Harry', 'Marques Houston', 'Tim Reid']",[],twin tia landry tamera campbell separated adopted birth fourteen year later encounter chance mall family meet tia widowed father agrees let tamera single mother move
ts20939,Moesha,SHOW,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996,TV-PG,21,6,tt0115275,5.8,3747,10.901,7.0,"['drama', 'comedy', 'family']",['US'],"['Brandy Norwood', 'William Allen Young', 'Marcus T. Paulk', 'Lamont Bentley', 'Shar Jackson', 'Ray J']",[],moesha american sitcom series aired upn network january may series star rb singer brandy norwood moesha mitchell high school student living family leimert park neighborhood south central los angeles originally ordered pilot cbs network television season rejected picked upn aired midseason replacement went become biggest success nascent network one greatest hit course network entire run
