id,title,type,description,release_year,age_certification,runtime,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,genres,production_countries,actors_list,directors_list,description_cleaned
ts300399,Five Came Back: The Reference Films,SHOW,"This collection includes 12 World War II-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""Five Came Back.""",1945,TV-MA,51,1,Unknown,6.6,2233,0.6,6.9,['documentation'],['US'],[],[],collection includes world war iiera propaganda film many graphic offensive discussed docuseries five came back
tm84618,Taxi Driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976,R,114,0,tt0075314,8.2,808582,40.965,8.179,"['drama', 'crime']",['US'],"['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Cybill Shepherd', 'Peter Boyle', 'Leonard Harris', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese', 'Murray Moston', 'Richard Higgs', 'Bill Minkin', 'Bob Maroff', 'Victor Argo', 'Joe Spinell', 'Robinson Frank Adu', 'Brenda Dickson', 'Norman Matlock', 'Harry Northup', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Nicholas Shields', 'Ralph S. Singleton', 'Annie Gagen', 'Carson Grant', 'Mary-Pat Green', 'Debbi Morgan', 'Don Stroud', 'Copper Cunningham', 'Garth Avery', 'Nat Grant', 'Billie Perkins', 'Catherine Scorsese', 'Charles Scorsese']",['Martin Scorsese'],mentally unstable vietnam war veteran work nighttime taxi driver new york city perceived decadence sleaze feed urge violent action
tm154986,Deliverance,MOVIE,"Intent on seeing the Cahulawassee River before it's turned into one huge lake, outdoor fanatic Lewis Medlock takes his friends on a river-rafting trip they'll never forget into the dangerous American back-country.",1972,R,109,0,tt0068473,7.7,107673,10.01,7.3,"['drama', 'action', 'thriller', 'european']",['US'],"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox', 'Ed Ramey', 'Billy Redden', 'Seamon Glass', 'Randall Deal', 'Bill McKinney', ""Herbert 'Cowboy' Coward"", 'Lewis Crone', 'Ken Keener', 'Johnny Popwell', 'John Fowler', 'Kathy Rickman', 'Louise Coldren', 'Pete Ware', 'James Dickey', 'Macon McCalman', 'Hoyt Pollard', 'Belinda Beatty', 'Charley Boorman']",['John Boorman'],intent seeing cahulawassee river turned one huge lake outdoor fanatic lewis medlock take friend riverrafting trip theyll never forget dangerous american backcountry
tm127384,Monty Python and the Holy Grail,MOVIE,"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".",1975,PG,91,0,tt0071853,8.2,534486,15.461,7.811,"['fantasy', 'action', 'comedy']",['GB'],"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Gilliam', 'Terry Jones', 'Michael Palin', 'Connie Booth', 'Carol Cleveland', 'Neil Innes', 'Bee Duffell', 'John Young', 'Rita Davies', 'Avril Stewart', 'Sally Kinghorn', 'Mark Zycon', 'Elspeth Cameron', 'Mitsuko Forstater', 'Sandy Johnson', 'Sandy Rose', 'Romilly Squire', 'Joni Flynn', 'Alison Walker', 'Loraine Ward', 'Anna Lanski', 'Sally Coombe', 'Vivienne MacDonald', 'Yvonne Dick', 'Daphne Darling', 'Fiona Gordon', 'Judy Lamb', 'Tracy Sneddon', 'Joyce Pollner', 'Mary Allen', 'Gloria Graham', 'Sylvia Taylor', 'Julian Doyle', 'Margarita Doyle', 'Zack Matalon', 'Scott Mike', 'William Palin', 'Terry Jones', 'Tom Raeburn', 'Brian Ross', 'Roy Forge Smith', 'John Thornton', 'Maggie Weston']","['Terry Jones', 'Terry Gilliam']",king arthur accompanied squire recruit knight round table including sir bedevere wise sir lancelot brave sir robin notquitesobraveassirlancelot sir galahad pure way arthur battle black knight despite limb chopped insists still fight reach camelot arthur decides enter silly place
tm120801,The Dirty Dozen,MOVIE,"12 American military prisoners in World War II are ordered to infiltrate a well-guarded enemy château and kill the Nazi officers vacationing there. The soldiers, most of whom are facing death sentences for a variety of violent crimes, agree to the mission and the possible commuting of their sentences.",1967,Unknown,150,0,tt0061578,7.7,72662,20.398,7.6,"['war', 'action']","['GB', 'US']","['Lee Marvin', 'Ernest Borgnine', 'Charles Bronson', 'Jim Brown', 'John Cassavetes', 'Richard Jaeckel', 'George Kennedy', 'Trini López', 'Ralph Meeker', 'Robert Ryan', 'Telly Savalas', 'Donald Sutherland', 'Clint Walker', 'Robert Webber', 'Tom Busby', 'Ben Carruthers', 'Stuart Cooper', 'Robert Phillips', 'Colin Maitland', 'Al Mancini', 'George Roubicek', 'Thick Wilson', 'Dora Reisser', 'Michael Anthony', 'Leo Britt', 'Alan Chuntz', 'Gary Files', 'Judith Furse', 'Hal Galili', 'Romo Gorrara', 'Willoughby Gray', 'Gerard Heinz', 'John G. Heller', 'George Hilsdon', 'John Hollis', 'Alf Joint', 'Juba Kennerley', 'Hildegard Knef', 'Ann Lancaster', 'Richard Marner', 'Dick Miller', 'Lionel Murton', 'Suzanne Owens-Duval', 'Mike Reid', 'Terry Richards', 'Frederick Schiller', 'Richard Shaw', 'Warren Stanhope', 'Hedger Wallace', 'Theodore Wilhelm', 'Rocky Taylor', 'Burnell Tucker', 'Vicki Woolf', 'Michael Segal']",['Robert Aldrich'],american military prisoner world war ii ordered infiltrate wellguarded enemy chteau kill nazi officer vacationing soldier facing death sentence variety violent crime agree mission possible commuting sentence
ts22164,Monty Python's Flying Circus,SHOW,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,4,tt0063929,8.8,73424,17.617,8.306,"['comedy', 'european']",['GB'],"['Graham Chapman', 'Michael Palin', 'Terry Jones', 'Eric Idle', 'Terry Gilliam']",[],british sketch comedy series show composed surreality risqu innuendoladen humour sight gag observational sketch without punchlines
tm70993,Life of Brian,MOVIE,"Brian Cohen is an average young Jewish man, but through a series of ridiculous events, he gains a reputation as the Messiah. When he's not dodging his followers or being scolded by his shrill mother, the hapless Brian has to contend with the pompous Pontius Pilate and acronym-obsessed members of a separatist movement. Rife with Monty Python's signature absurdity, the tale finds Brian's life paralleling Biblical lore, albeit with many more laughs.",1979,R,94,0,tt0079470,8.0,395024,17.77,7.8,['comedy'],['GB'],"['Graham Chapman', 'John Cleese', 'Terry Gilliam', 'Eric Idle', 'Terry Jones', 'Michael Palin', 'Terence Bayler', 'Carol Cleveland', 'Kenneth Colley', 'Neil Innes', 'Charles McKeown', 'John Young', 'Gwen Taylor', 'Sue Jones-Davies', 'Peter Brett', 'John Case', 'Chris Langham', 'Andrew MacLachlan', 'Bernard McKenna', 'Spike Milligan', 'George Harrison']",['Terry Jones'],brian cohen average young jewish man series ridiculous event gain reputation messiah he dodging follower scolded shrill mother hapless brian contend pompous pontius pilate acronymobsessed member separatist movement rife monty python signature absurdity tale find brians life paralleling biblical lore albeit many laugh
tm14873,Dirty Harry,MOVIE,"When a madman dubbed 'Scorpio' terrorizes San Francisco, hard-nosed cop, Harry Callahan – famous for his take-no-prisoners approach to law enforcement – is tasked with hunting down the psychopath. Harry eventually collars Scorpio in the process of rescuing a kidnap victim, only to see him walk on technicalities. Now, the maverick detective is determined to nail the maniac himself.",1971,R,102,0,tt0066999,7.7,155051,12.817,7.5,"['thriller', 'action', 'crime']",['US'],"['Clint Eastwood', 'Harry Guardino', 'Reni Santoni', 'John Vernon', 'Andrew Robinson', 'John Larch', 'John Mitchum', 'Mae Mercer', 'Lyn Edgington', 'Ruth Kobart', 'Woodrow Parfrey', 'Josef Sommer', 'William Paterson', 'James Nolan', 'Maurice Argent', 'Jo De Winter', 'Craig Kelly', 'Albert Popwell', 'Joy Carlin', 'Bill Couch', 'Diana Davidson', 'Vince Deadrick Sr.', 'Chuck Dorsett', 'Al Dunlap', 'Larry Duran', 'George Fargo', 'Lois Foraker', 'Max Gail', 'John Garber', 'Christopher Pray', 'Eddie Garrett', 'James W. Gavin', 'David Gilliam', 'Don Haggerty', 'Scott Hale', 'Kate Harper', 'Bob Harris', 'Chuck Hicks', 'Raymond Johnson', 'Richard Lawson', 'Laurie Mock', 'Ann Noland', ""Kathleen O'Malley"", 'Angela Paton', 'Victor Paul', 'Debralee Scott', 'Don Siegel', 'Kristoffer Tabori', 'Tony Dario', 'Marc Hertsens', 'Gordon Chapli', 'Janet Wisely', 'Pamela Tanimura', 'Richard Samuelson', 'Derek Jue', 'Sean Maley', 'Diane Darnell']",['Don Siegel'],madman dubbed scorpio terrorizes san francisco hardnosed cop harry callahan famous takenoprisoners approach law enforcement tasked hunting psychopath harry eventually collar scorpio process rescuing kidnap victim see walk technicality maverick detective determined nail maniac
tm119281,Bonnie and Clyde,MOVIE,"In the 1930s, bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",1967,R,110,0,tt0061418,7.7,112048,15.687,7.5,"['crime', 'drama', 'action']",['US'],"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman', 'Estelle Parsons', 'Denver Pyle', 'Dub Taylor', 'Evans Evans', 'Gene Wilder', 'Mabel Cavitt', 'Patrick Cranshaw', 'Owen Bush', 'Clyde Howdy', 'Russ Marker', 'Ann Palmer', 'Ken Mayer']",['Arthur Penn'],bored waitress bonnie parker fall love excon named clyde barrow together start violent crime spree country stealing car robbing bank
tm98978,The Blue Lagoon,MOVIE,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",1980,R,104,0,tt0080453,5.8,69844,50.324,6.156,"['romance', 'action', 'drama']",['US'],"['Brooke Shields', 'Christopher Atkins', 'Leo McKern', 'William Daniels', 'Jeffrey Kleiser', 'Gus Mercurio', 'Elva Josephson', 'Glenn Kohan', 'Bradley Pryce', 'Chad Timmerman', 'Gert Jacoby', 'Alex Hamilton', 'Richard Evanson']",['Randal Kleiser'],two small child ship cook survive shipwreck find safety idyllic tropical island soon however cook dy young boy girl left day become year emmeline richard make home surrounded exotic creature nature beauty ever see civilization
tm44204,The Guns of Navarone,MOVIE,"A team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable Nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped British soldiers.",1961,Unknown,158,0,tt0054953,7.5,50748,13.844,7.3,"['action', 'drama', 'war']","['GB', 'US']","['Gregory Peck', 'David Niven', 'Anthony Quinn', 'Stanley Baker', 'Anthony Quayle', 'James Darren', 'Irene Papas', 'Gia Scala', 'James Robertson Justice', 'Richard Harris', 'Bryan Forbes', 'Allan Cuthbertson', 'Michael Trubshawe', 'Percy Herbert', 'George Mikell', 'Walter Gotell', 'Tutte Lemkow', 'Albert Lieven', 'Norman Wooland', 'Kleo Skouloudi', 'Nicholas Papakonstantinou', 'Christopher Rhodes', 'William Hoehne Jr.']",['J. Lee Thompson'],team allied saboteur assigned impossible mission infiltrate impregnable naziheld island destroy two enormous longrange field gun prevent rescue trapped british soldier
tm67378,The Professionals,MOVIE,An arrogant Texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious Mexican bandit.,1966,PG-13,117,0,tt0060862,7.3,16446,13.123,7.1,"['western', 'action', 'european']",['US'],"['Burt Lancaster', 'Lee Marvin', 'Robert Ryan', 'Woody Strode', 'Jack Palance', 'Claudia Cardinale', 'Ralph Bellamy', 'Joe De Santis', 'Rafael Bertrand', 'Jorge Martínez de Hoyos', 'Marie Gomez', 'José Chávez', 'Carlos Romero', 'Vaughn Taylor', 'Elizabeth Campbell', 'Don Carlos', 'Leigh Chapman', 'Roberto Contreras', 'Dirk Evans', 'Darwin Lamb', 'Eddie Little Sky', 'John Lopez', 'John McKee', 'Philip L. Parslow', 'Ron Veto']",['Richard Brooks'],arrogant texas millionaire hire four adventurer rescue kidnapped wife notorious mexican bandit
tm69997,Richard Pryor: Live in Concert,MOVIE,"Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.",1979,R,78,0,tt0079807,8.1,5141,4.718,7.5,"['comedy', 'documentation']",['US'],"['Richard Pryor', 'Jennifer Lee Pryor']",['Jeff Margolis'],richard pryor delivers monologue race sex family favorite targethimself live terrace theatre long beach california
tm16479,White Christmas,MOVIE,Two talented song-and-dance men team up after the war to become one of the hottest acts in show business. In time they befriend and become romantically involved with the beautiful Haynes sisters who comprise a sister act.,1954,Unknown,115,0,tt0047673,7.5,42488,8.915,7.2,"['romance', 'comedy']",['US'],"['Bing Crosby', 'Danny Kaye', 'Rosemary Clooney', 'Vera-Ellen', 'Dean Jagger', 'Mary Wickes', 'John Brascia', 'Anne Whitfield', 'Bea Allen', 'Frank Baker', 'Glen Cargyle', 'George Chakiris', 'Barrie Chase', 'Lorinne Crawford', 'Franklyn Farnum', 'Bess Flowers', 'Gavin Gordon', 'Johnny Grant', 'Percy Helton', 'I. Stanford Jolley', 'Sig Ruman', 'Grady Sutton', 'Herb Vigran', 'Robert Crosson']",['Michael Curtiz'],two talented songanddance men team war become one hottest act show business time befriend become romantically involved beautiful haynes sister comprise sister act
tm135083,Cairo Station,MOVIE,"Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",1958,Unknown,77,0,tt0051390,7.5,4471,5.546,7.3,"['drama', 'crime', 'comedy']",['EG'],"['Farid Shawqi', 'Hind Rostom', 'Youssef Chahine', 'Hassan el Baroudi', 'Abdel Aziz Khalil', 'Said Khalil', 'Abdel Ghani Nagdi', 'Loutfi El Hakim', 'Abdel Hamid Bodaoha', 'F. El Demerdache', 'Said El Araby', 'Ahmed Abaza', 'Hana Abdel Fattah', 'Safia Sarwat', 'Asaad Kellada', 'Naima Wasfy', 'Sherine', 'Soheir', 'Esmat Mahmoud', 'Nawal Morsi', 'Gharib Moawad', 'Mohamed Mazhar', 'Galal Issa', 'Mahrous El Garhi', 'Ahmed El Tantawi', 'S. Abdel Aziz', 'Nadia Lotfi', 'Safia Tharwat']",['Youssef Chahine'],qinawi physically challenged peddler make living selling newspaper central cairo train station obsessed hanuma attractive young woman sell drink joke possible relationship actually love abu siri strong respected porter station struggling unionize fellow worker combat bos exploitative abusive treatment
tm89386,Hitler: A Career,MOVIE,"A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.",1977,PG,150,0,tt0191182,7.5,2460,4.305,7.3,"['history', 'documentation', 'european']",['DE'],['Gert Westphal'],['Joachim Fest'],keen chronicle unlikely rise power adolf hitler dissection third reich also analysis mass psychology desperate crowd deceived shepherded slaughterhouse
tm156453,FTA,MOVIE,"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.",1972,R,97,0,tt0068562,6.2,418,1.268,6.1,"['war', 'documentation', 'music', 'comedy']",['US'],"['Jane Fonda', 'Donald Sutherland', 'Pamela Donegan', 'Len Chandler', 'Michael Alaimo', 'Holly Near', 'Paul Mooney', 'Rita Martinson', 'Peter Boyle', 'Steve Jaffe']",['Francine Parker'],documentary political troupe headed actor jane fonda donald sutherland traveled town near military base u early group put show called fta stood fk army aimed convincing soldier voice opposition vietnam war raging time various singer actor entertainer performed antiwar song skit show
tm14350,Alexandria… Why?,MOVIE,"Set against the panoramic backdrop of war-torn Egypt, director Youssef Chahine tells a highly personal tale of love and determination. Amid the poverty, death and suffering caused by World War II, 18 year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.",1979,Unknown,133,0,tt0077751,7.2,1727,1.37,6.0,['drama'],['EG'],"['Farid Shawqi', 'Mahmoud el-Meliguy', 'Ezzat El Alaili', 'Youssef Wahby', 'Yehia Chahine', 'Leila Fawzi', 'Akela Kateb', 'Zeinab Sedky', 'Ahmad Abdel Waress', 'Abdel Azziz Makhyoun', 'Ahmed Mehrez', 'Abdel Warith Assir', 'Aida Kamel', 'Oussaida Abbass', 'Zouzou Hamdy El-Hakim', 'Abdel Salam Mohamed', 'Halima El Soghayar', 'Samira Mohamed', 'Abou Hachich', 'Gamil El Traboulsi', 'Ahmad Zaki', 'Ahmad Bedir', 'Naglaa Fathy', 'Abdullah Mahmoud', 'Mohsena Tawfik', 'Seif Abdelrahman']",['Youssef Chahine'],set panoramic backdrop wartorn egypt director youssef chahine tell highly personal tale love determination amid poverty death suffering caused world war ii yearold yehia retreat private world fantasy longing obsessed hollywood dream one day studying filmmaking america falling love discovering lie european occupation yehia profoundly reevaluates identity allegiance
tm81728,The Land,MOVIE,"Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.",1969,Unknown,129,0,tt0064038,8.1,1958,1.265,8.5,['drama'],['EG'],"['Ezzat El Alaili', 'Mahmoud el-Meliguy', 'Hamdy Ahmed', 'Yehia Chahine', 'Tewfik El Dekn', 'Ali El Sherif', 'Salah El-Saadany', 'Nagwa Ibrahim', 'Abdel Warith Assir', 'Fatma Omara\u200f', 'Ashraf Al-Selehdar', 'Hussein Ismail', 'Mahmoud Al Iraq', 'Faiza Abdelgawwad']",['Youssef Chahine'],set mayor informs peasant share irrigation land split equally feudal lord mahmoud bey peasant send muhammad effendi submit petition government mahmoud bey proposes project would require taking part peasant land
tm94651,Dostana,MOVIE,"Two close friends decide to enter law enforcement, one as a police officer, the other as a lawyer, but their friendship begins to unravel when they both fall in love with the same woman.",1980,Unknown,161,0,tt0080653,2.1,25,3.98,4.9,"['drama', 'comedy', 'crime', 'romance', 'action']",['IN'],"['Amitabh Bachchan', 'Shatrughan Sinha', 'Zeenat Aman', 'Prem Chopra', 'Amrish Puri', 'Helen', 'Pran', 'Gajanan Jagirdar', 'Sajjan', 'Iftekhar', 'K.N. Singh', 'Trilok Kapoor', 'Abhimanyu Sharma', 'Goga Kapoor', 'Mac Mohan', 'Paintal', 'Jagdish Raj', 'Ruby Myers', 'Yunus Parvez']",['Raj Khosla'],two close friend decide enter law enforcement one police officer lawyer friendship begin unravel fall love woman
tm27298,Saladin the Victorious,MOVIE,"Saladin, the first sultan of Egypt and Syria, leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.",1963,Unknown,186,0,tt0057357,7.6,2508,4.156,7.1,"['action', 'drama', 'war', 'history', 'romance']",['EG'],"['Ahmad Mazhar', 'Nadia Lotfi', 'Salah Zulfikar', 'Leila Fawzi', 'Hamdy Ghaith', 'Laila Taher', 'Omar El-Hariri', 'Husain Reyadh', 'Mahmoud el-Meliguy', 'Zaki Toleimat', 'Tewfik El Dekn', 'Mohamed Hamdy', 'Mohamed Sultan', 'Mohamed Abdel Gawad', 'Sami Loutfi', 'Ibrahim Emara', 'Ahmed Louxor', 'Salah Nazmi']",['Youssef Chahine'],saladin first sultan egypt syria lead muslim military campaign invading christian europe third crusade
tm100027,Alibaba Aur 40 Chor,MOVIE,"The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.",1979,Unknown,146,0,tt0079749,6.2,565,2.582,6.8,"['drama', 'romance', 'action', 'fantasy', 'family']","['SU', 'IN']","['Dharmendra', 'Hema Malini', 'Zeenat Aman', 'Prem Chopra', 'Zakir Mukhamedzhanov', 'Sofiko Chiaureli', 'Yelena Sanayeva', 'Frunzik Mkrtchyan', 'Maya-Gozel Aimedova']","['Umesh Mehra', 'Latif Faiziyev']",movie based story ali baba forty thief one thousand one night arabian tale role ali baba played dharmendra hema malini play morjina
tm19608,The Blazing Sun,MOVIE,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",1954,Unknown,100,0,tt0047500,7.4,1219,2.184,7.0,"['crime', 'romance', 'drama']",['EG'],"['Faten Hamamah', 'Omar Sharif', 'Zaki Rostom', 'Farid Shawqi', 'Abdel Warith Assir', 'Ahmad Abdel Waress', 'Hamdy Ghaith', 'Abdel Ghani Kamar', 'Zaki Ibrahim']",['Youssef Chahine'],rich landlord flood destroys village purpose prevent people living making profit crop doesnt know daughter love ahmed young man village
tm204541,Dark Waters,MOVIE,"Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.",1956,Unknown,120,0,tt0049761,6.7,610,0.849,5.9,"['action', 'drama', 'romance', 'thriller']",['EG'],"['Omar Sharif', 'Faten Hamamah', 'Ahmed Ramzy', 'Tewfik El Dekn', 'Ferdoos Mohammed', 'Husain Reyadh']",['Youssef Chahine'],ragab poor sailor return home alexandria three year absence tried save money marry one true love hamedah there trouble harbor old friend
tm259855,We Are All for the Fatherland,MOVIE,"After the 1978 Israeli invasion of Lebanon, children try to sing the national anthem as citizens search for hope in the war-torn South.",1979,Unknown,74,0,tt0170799,6.1,47,0.6,5.2,['documentation'],"['LB', 'CA', 'FR']",[],['Maroun Bagdadi'],israeli invasion lebanon child try sing national anthem citizen search hope wartorn south
tm356209,Singapore,MOVIE,"When his employee disappears in Singapore, Shyam travels from India to investigate the absence and becomes entangled in a deadly plot.",1960,Unknown,158,0,tt0268639,6.4,84,0.792,6.3,"['drama', 'thriller', 'crime']",['IN'],"['Shammi Kapoor', 'Padmini', 'Maria Menado', 'Shashikala', 'Agha']",['Shakti Samanta'],employee disappears singapore shyam travel india investigate absence becomes entangled deadly plot
ts45948,Monty Python's Fliegender Zirkus,SHOW,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,1,tt0202477,8.1,2151,1.487,7.0,['comedy'],[],"['Graham Chapman', 'John Cleese', 'Eric Idle', 'Terry Jones', 'Michael Palin']",['Ian MacNaughton'],monty python fliegender zirkus consisted two minute monty python german television comedy special produced wdr west german television two episode first broadcast january december shot entirely film mostly location bavaria first episode recorded german second recorded english dubbed german
tm200475,"Beirut, Oh Beirut",MOVIE,"In the aftermath of the 1967 defeat, four young Lebanese try to figure out their places in a society whose rules seem to have changed. It proved to be an extraordinary anticipation of the civil war that would engulf the country while the film was being edited.",1975,Unknown,110,0,tt0169599,6.4,108,1.025,7.2,['drama'],['LB'],"['Ezzat El Alaili', 'Mireille Maalouf', 'Joseph Bou Nassar', 'Philippe Akiki', 'Ahmed Al Zain']",['Maroun Bagdadi'],aftermath defeat four young lebanese try figure place society whose rule seem changed proved extraordinary anticipation civil war would engulf country film edited
tm90896,The Return of the Prodigal Son,MOVIE,"In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.",1976,Unknown,124,0,tt0074168,7.2,780,1.858,5.3,"['music', 'drama', 'crime']","['DZ', 'EG']","['Mahmoud el-Meliguy', 'Hoda Soltan', 'Shukri Sarhan', 'Soheir El-Morshidy', 'Hesham Selim', 'Majida El Roumi', 'Ali El Sherif', 'Rajaa Hussain', 'Sid Ali Kouiret', 'Ali Mahrez', 'Ahmad Bedir']",['Youssef Chahine'],andre gide adaptation activist released many year prison return home shaking established relationship among family member farm governed strict father demonstrating chahines eclecticism elegant melodrama exuberant musical layered allegory profound portrait personal political disillusionment
tm336403,Khoon Khoon,MOVIE,"As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.",1973,Unknown,131,0,tt0230412,5.1,41,1.948,3.8,"['crime', 'thriller']",['IN'],"['Mahendra Sandhu', 'Danny Denzongpa', 'Jagdeep', 'Faryal', 'Padma Khanna', 'Asit Sen', 'Karan Dewan', 'Agha', 'Murad', 'Sabina']",['Mohammed Hussain'],crazed killer blaze trail blood anxious city hardened cop aim take mean remake dirty harry
tm107372,Manoranjan,MOVIE,"Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.",1974,Unknown,162,0,tt0071811,6.5,237,1.532,5.3,"['romance', 'drama', 'comedy']",['IN'],[],['Suhail Tatari'],havaldar ratan rookie local police station assigned duty foot patrol manoranjan street notorious redlight area first day job strike conversation goodlooking young woman named nisha tell possible violation suppression immoral trafficking act taking place street witness several woman soliciting men decides call paddy wagon get arrested ala one men frequenting prostitute none ratan superior officer immediately summons ratan removed service corruption charge nisha take pity homeless unemployed ratan asks live want sell body decides work night day take guise rich nawab spends time
tm358653,Ujala,MOVIE,"An honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",1959,Unknown,142,0,tt0157132,6.6,78,0.84,6.0,"['romance', 'crime', 'drama']",['IN'],"['Mala Sinha', 'Shammi Kapoor', 'Raaj Kumar', 'Leela Chitnis', 'Kumkum', 'Dhumal', 'Tun Tun', 'Asrani', 'Suresh']",[],honest man dream better life family childhood friend lead world crime keep happiness reach
tm259684,Whispers,MOVIE,"At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.",1980,Unknown,93,0,tt0170803,7.8,78,0.6,5.0,['documentation'],"['CA', 'FR', 'LB']",['Nadia Tueni'],['Maroun Bagdadi'],every station site filled poetry nostalgia bygone era poet dashed dream idealized vision country coincide director
tm403346,Chadi Jawani Budhe Nu,MOVIE,"A small-time businessman (B.S. Sood) reaches the ""naughty forties"". Now his wife is not good enough anymore, so he decides he needs a modern up to date mistress, resulting in hilarious situations.",1976,Unknown,135,0,tt3290368,4.6,14,0.62,6.0,['romance'],['IN'],[],['A. Salaam'],smalltime businessman b sood reach naughty forty wife good enough anymore decides need modern date mistress resulting hilarious situation
